Event_Name,Event_Type,Department,Rating,Feedback_Comment
Cultural Night,Cultural,Mechanical,3,It was okay overall
Cyber Security Talk,Cultural,CSE,2,Not well organized
AI Workshop,Workshop,Mechanical,5,Learned a lot from this event
Cyber Security Talk,Workshop,Mechanical,1,Poor time management
Cultural Night,Cultural,EEE,3,Neither good nor bad
Startup Meetup,Cultural,CSE,3,Neither good nor bad
Hackathon,Technical,CSE,1,Not well organized
Hackathon,Workshop,Arts,3,"Average experience, could be better"
Cyber Security Talk,Technical,IT,5,Excellent arrangements and content
Cyber Security Talk,Technical,Civil,1,Sound system was bad
Data Science Bootcamp,Seminar,ECE,5,Highly engaging and interactive session
Career Seminar,Technical,Civil,1,Too long and boring
AI Workshop,Cultural,Management,2,Sound system was bad
Cultural Night,Workshop,ECE,5,Amazing experience and great speakers
Data Science Bootcamp,Cultural,Management,4,Very informative and well organized
Data Science Bootcamp,Technical,Management,2,Too long and boring
Cultural Night,Workshop,Arts,1,Not well organized
Cultural Night,Workshop,CSE,3,Content was fine but nothing special
Career Seminar,Cultural,IT,2,Not well organized
Cyber Security Talk,Seminar,Civil,3,Content was fine but nothing special
Hackathon,Workshop,Mechanical,1,Poor time management
Leadership Workshop,Seminar,Civil,1,Poor time management
Leadership Workshop,Technical,Management,3,Decent event
Hackathon,Technical,Management,5,Amazing experience and great speakers
Cyber Security Talk,Workshop,Civil,1,Expected more from this event
Career Seminar,Cultural,IT,4,Very informative and well organized
Hackathon,Seminar,Civil,3,Neither good nor bad
Cyber Security Talk,Workshop,EEE,4,Learned a lot from this event
Data Science Bootcamp,Cultural,Management,4,Excellent arrangements and content
Hackathon,Cultural,EEE,5,Very informative and well organized
Leadership Workshop,Cultural,Arts,4,Highly engaging and interactive session
Cultural Night,Seminar,ECE,4,Excellent arrangements and content
Cyber Security Talk,Cultural,IT,1,Too long and boring
Cultural Night,Workshop,ECE,2,Too long and boring
Cultural Night,Seminar,IT,1,Poor time management
Leadership Workshop,Workshop,Management,4,Excellent arrangements and content
Cultural Night,Workshop,CSE,4,Excellent arrangements and content
Cultural Night,Workshop,Arts,1,Not well organized
Cultural Night,Technical,Arts,1,Expected more from this event
Cyber Security Talk,Cultural,Arts,2,Not well organized
Robotics Expo,Seminar,ECE,5,Highly engaging and interactive session
Hackathon,Workshop,Mechanical,4,Excellent arrangements and content
Cultural Night,Cultural,Arts,5,Excellent arrangements and content
Cultural Night,Cultural,Civil,1,Too long and boring
AI Workshop,Workshop,ECE,3,Neither good nor bad
Data Science Bootcamp,Workshop,IT,2,Not well organized
Career Seminar,Seminar,Management,4,Excellent arrangements and content
Robotics Expo,Seminar,CSE,1,Sound system was bad
Startup Meetup,Technical,Civil,5,Excellent arrangements and content
Robotics Expo,Workshop,Arts,3,Decent event
Robotics Expo,Seminar,CSE,2,Too long and boring
Robotics Expo,Workshop,Arts,4,Learned a lot from this event
Cyber Security Talk,Technical,Management,2,Expected more from this event
Tech Fest,Technical,Management,5,Highly engaging and interactive session
Data Science Bootcamp,Technical,Mechanical,2,Not well organized
Cultural Night,Seminar,Civil,4,Learned a lot from this event
Hackathon,Seminar,Mechanical,3,Decent event
Tech Fest,Technical,Civil,1,Not well organized
Tech Fest,Technical,EEE,2,Poor time management
Leadership Workshop,Workshop,EEE,2,Poor time management
AI Workshop,Workshop,Arts,2,Not well organized
Data Science Bootcamp,Technical,ECE,3,Content was fine but nothing special
Leadership Workshop,Technical,Mechanical,3,It was okay overall
Robotics Expo,Workshop,IT,5,Excellent arrangements and content
AI Workshop,Cultural,IT,5,Amazing experience and great speakers
Career Seminar,Seminar,Civil,5,Very informative and well organized
Career Seminar,Technical,Management,1,Expected more from this event
Robotics Expo,Cultural,Arts,4,Very informative and well organized
Data Science Bootcamp,Cultural,Arts,2,Not well organized
Leadership Workshop,Cultural,Civil,4,Excellent arrangements and content
Hackathon,Seminar,EEE,2,Poor time management
Leadership Workshop,Seminar,Civil,4,Highly engaging and interactive session
Career Seminar,Workshop,Arts,1,Not well organized
Hackathon,Cultural,Mechanical,2,Too long and boring
Cyber Security Talk,Technical,EEE,5,Learned a lot from this event
Robotics Expo,Seminar,EEE,1,Sound system was bad
Startup Meetup,Technical,IT,4,Excellent arrangements and content
Robotics Expo,Workshop,Mechanical,3,"Average experience, could be better"
Startup Meetup,Cultural,Management,5,Learned a lot from this event
Career Seminar,Seminar,Mechanical,5,Learned a lot from this event
Cultural Night,Technical,EEE,3,Content was fine but nothing special
Cyber Security Talk,Workshop,EEE,3,It was okay overall
Hackathon,Cultural,IT,2,Not well organized
Cultural Night,Cultural,ECE,2,Too long and boring
Cyber Security Talk,Workshop,Mechanical,3,It was okay overall
Cyber Security Talk,Cultural,ECE,1,Poor time management
Tech Fest,Cultural,Arts,4,Very informative and well organized
Career Seminar,Workshop,CSE,4,Excellent arrangements and content
AI Workshop,Technical,Management,3,Decent event
Leadership Workshop,Technical,ECE,4,Very informative and well organized
Hackathon,Technical,EEE,2,Expected more from this event
Robotics Expo,Workshop,Management,1,Expected more from this event
Hackathon,Seminar,Mechanical,4,Excellent arrangements and content
Tech Fest,Technical,EEE,5,Highly engaging and interactive session
AI Workshop,Workshop,EEE,2,Too long and boring
AI Workshop,Workshop,CSE,2,Expected more from this event
Leadership Workshop,Seminar,Mechanical,4,Excellent arrangements and content
Hackathon,Cultural,Arts,1,Sound system was bad
Hackathon,Workshop,Management,1,Sound system was bad
Cultural Night,Workshop,Mechanical,1,Expected more from this event
Tech Fest,Workshop,Mechanical,2,Poor time management
Hackathon,Seminar,IT,5,Highly engaging and interactive session
Robotics Expo,Cultural,Arts,4,Learned a lot from this event
Leadership Workshop,Technical,Management,4,Very informative and well organized
Hackathon,Technical,IT,3,Neither good nor bad
Leadership Workshop,Technical,Mechanical,2,Expected more from this event
Data Science Bootcamp,Seminar,Arts,5,Very informative and well organized
Leadership Workshop,Seminar,Arts,3,"Average experience, could be better"
Career Seminar,Seminar,Civil,1,Not well organized
Data Science Bootcamp,Cultural,Management,3,It was okay overall
Robotics Expo,Technical,Arts,4,Learned a lot from this event
Hackathon,Cultural,IT,1,Too long and boring
Tech Fest,Seminar,Management,4,Highly engaging and interactive session
Cyber Security Talk,Cultural,Arts,1,Sound system was bad
Cultural Night,Cultural,ECE,4,Very informative and well organized
Startup Meetup,Technical,CSE,3,Decent event
Data Science Bootcamp,Cultural,CSE,5,Amazing experience and great speakers
AI Workshop,Workshop,IT,5,Excellent arrangements and content
Data Science Bootcamp,Seminar,Mechanical,4,Very informative and well organized
Robotics Expo,Seminar,Arts,5,Learned a lot from this event
Cyber Security Talk,Workshop,Management,2,Not well organized
Cyber Security Talk,Workshop,IT,2,Expected more from this event
Career Seminar,Cultural,CSE,3,Decent event
Leadership Workshop,Seminar,ECE,3,Content was fine but nothing special
Startup Meetup,Cultural,Civil,4,Highly engaging and interactive session
Robotics Expo,Seminar,Civil,5,Highly engaging and interactive session
Leadership Workshop,Seminar,EEE,2,Sound system was bad
Career Seminar,Seminar,Management,4,Very informative and well organized
Startup Meetup,Technical,ECE,4,Amazing experience and great speakers
Career Seminar,Technical,Arts,5,Highly engaging and interactive session
Startup Meetup,Technical,ECE,1,Expected more from this event
AI Workshop,Seminar,Mechanical,4,Amazing experience and great speakers
Robotics Expo,Technical,Civil,3,Neither good nor bad
Career Seminar,Seminar,CSE,5,Excellent arrangements and content
Cultural Night,Cultural,EEE,5,Very informative and well organized
AI Workshop,Technical,Arts,1,Not well organized
Tech Fest,Technical,Civil,2,Too long and boring
Career Seminar,Cultural,Management,1,Too long and boring
Cyber Security Talk,Seminar,ECE,2,Sound system was bad
AI Workshop,Seminar,EEE,2,Sound system was bad
Data Science Bootcamp,Workshop,Arts,4,Highly engaging and interactive session
Hackathon,Technical,Arts,3,Decent event
Data Science Bootcamp,Technical,Arts,3,Neither good nor bad
Hackathon,Seminar,Mechanical,3,Neither good nor bad
Cultural Night,Seminar,Arts,4,Learned a lot from this event
Robotics Expo,Cultural,Mechanical,1,Sound system was bad
Robotics Expo,Cultural,CSE,3,It was okay overall
Leadership Workshop,Seminar,Mechanical,5,Very informative and well organized
Career Seminar,Workshop,EEE,2,Expected more from this event
Data Science Bootcamp,Technical,CSE,5,Learned a lot from this event
Tech Fest,Cultural,ECE,3,Decent event
Career Seminar,Seminar,ECE,1,Too long and boring
Cyber Security Talk,Cultural,Mechanical,2,Sound system was bad
Startup Meetup,Cultural,Civil,2,Too long and boring
AI Workshop,Workshop,EEE,1,Not well organized
Career Seminar,Technical,Management,4,Highly engaging and interactive session
Cyber Security Talk,Technical,Arts,1,Too long and boring
Leadership Workshop,Seminar,Civil,3,Content was fine but nothing special
Startup Meetup,Technical,Civil,1,Sound system was bad
AI Workshop,Seminar,Mechanical,5,Amazing experience and great speakers
Data Science Bootcamp,Technical,CSE,4,Very informative and well organized
AI Workshop,Technical,EEE,3,Decent event
Robotics Expo,Seminar,Civil,5,Amazing experience and great speakers
Leadership Workshop,Workshop,Management,5,Excellent arrangements and content
Leadership Workshop,Seminar,Mechanical,1,Not well organized
Cultural Night,Seminar,Arts,1,Too long and boring
AI Workshop,Cultural,Civil,2,Too long and boring
Hackathon,Workshop,IT,1,Not well organized
Cultural Night,Technical,CSE,4,Very informative and well organized
Data Science Bootcamp,Workshop,IT,3,"Average experience, could be better"
Leadership Workshop,Workshop,EEE,5,Amazing experience and great speakers
Leadership Workshop,Technical,Mechanical,3,"Average experience, could be better"
Cyber Security Talk,Cultural,ECE,2,Sound system was bad
Data Science Bootcamp,Technical,Civil,1,Poor time management
Career Seminar,Technical,ECE,2,Expected more from this event
Data Science Bootcamp,Seminar,IT,3,It was okay overall
Startup Meetup,Cultural,IT,1,Not well organized
Cultural Night,Technical,Mechanical,4,Highly engaging and interactive session
Tech Fest,Seminar,Management,4,Very informative and well organized
Startup Meetup,Seminar,IT,4,Very informative and well organized
Leadership Workshop,Workshop,IT,1,Too long and boring
Leadership Workshop,Cultural,Management,2,Too long and boring
Hackathon,Seminar,Management,5,Highly engaging and interactive session
Cyber Security Talk,Workshop,Management,1,Poor time management
Robotics Expo,Cultural,Arts,4,Amazing experience and great speakers
AI Workshop,Cultural,Management,4,Excellent arrangements and content
Career Seminar,Workshop,Arts,3,Content was fine but nothing special
AI Workshop,Technical,Management,1,Poor time management
Data Science Bootcamp,Technical,Civil,1,Too long and boring
Career Seminar,Seminar,CSE,1,Not well organized
Hackathon,Cultural,IT,3,Neither good nor bad
Cultural Night,Workshop,Arts,5,Highly engaging and interactive session
Career Seminar,Cultural,IT,2,Poor time management
Cultural Night,Seminar,CSE,3,Neither good nor bad
Tech Fest,Workshop,Mechanical,5,Learned a lot from this event
Career Seminar,Technical,ECE,3,Content was fine but nothing special
Robotics Expo,Technical,ECE,2,Expected more from this event
Cyber Security Talk,Workshop,Management,1,Poor time management
Career Seminar,Workshop,Civil,4,Excellent arrangements and content
Leadership Workshop,Technical,CSE,3,Content was fine but nothing special
Leadership Workshop,Technical,IT,2,Sound system was bad
Robotics Expo,Seminar,Arts,3,Decent event
Cultural Night,Technical,Civil,4,Learned a lot from this event
Hackathon,Seminar,Mechanical,4,Very informative and well organized
Robotics Expo,Technical,CSE,1,Sound system was bad
Cultural Night,Workshop,Mechanical,2,Too long and boring
AI Workshop,Technical,Arts,3,Content was fine but nothing special
Data Science Bootcamp,Seminar,EEE,4,Amazing experience and great speakers
Career Seminar,Technical,Management,5,Highly engaging and interactive session
Tech Fest,Seminar,IT,1,Not well organized
Robotics Expo,Seminar,Management,3,Neither good nor bad
Robotics Expo,Technical,Civil,3,It was okay overall
Startup Meetup,Cultural,IT,2,Expected more from this event
Cultural Night,Seminar,Management,4,Very informative and well organized
Robotics Expo,Cultural,Civil,5,Very informative and well organized
Data Science Bootcamp,Technical,IT,2,Too long and boring
Cultural Night,Cultural,Civil,5,Highly engaging and interactive session
AI Workshop,Workshop,Mechanical,2,Sound system was bad
Leadership Workshop,Workshop,IT,2,Sound system was bad
Startup Meetup,Seminar,Civil,2,Not well organized
Startup Meetup,Technical,Arts,3,"Average experience, could be better"
Hackathon,Technical,Civil,4,Learned a lot from this event
Hackathon,Seminar,Arts,5,Very informative and well organized
Career Seminar,Cultural,IT,1,Poor time management
Leadership Workshop,Seminar,Arts,1,Expected more from this event
Tech Fest,Seminar,EEE,5,Highly engaging and interactive session
Startup Meetup,Workshop,CSE,3,Neither good nor bad
Career Seminar,Technical,ECE,4,Very informative and well organized
Startup Meetup,Seminar,ECE,1,Sound system was bad
Hackathon,Seminar,Management,3,Content was fine but nothing special
Tech Fest,Cultural,IT,3,Neither good nor bad
Cyber Security Talk,Seminar,Mechanical,3,It was okay overall
Data Science Bootcamp,Cultural,IT,3,Neither good nor bad
Career Seminar,Cultural,Management,5,Amazing experience and great speakers
AI Workshop,Cultural,Management,2,Expected more from this event
Cyber Security Talk,Technical,Management,3,"Average experience, could be better"
Tech Fest,Cultural,Mechanical,5,Learned a lot from this event
Career Seminar,Seminar,EEE,2,Sound system was bad
Data Science Bootcamp,Technical,Mechanical,2,Sound system was bad
Cyber Security Talk,Technical,Civil,1,Expected more from this event
Leadership Workshop,Seminar,ECE,5,Amazing experience and great speakers
Leadership Workshop,Workshop,Arts,2,Sound system was bad
Career Seminar,Workshop,Arts,1,Not well organized
Startup Meetup,Workshop,EEE,5,Learned a lot from this event
Cultural Night,Cultural,Arts,3,Decent event
Robotics Expo,Seminar,ECE,4,Learned a lot from this event
Data Science Bootcamp,Cultural,CSE,2,Expected more from this event
Cyber Security Talk,Technical,IT,4,Learned a lot from this event
Data Science Bootcamp,Cultural,Arts,3,It was okay overall
Robotics Expo,Technical,EEE,5,Amazing experience and great speakers
Tech Fest,Seminar,CSE,4,Learned a lot from this event
Career Seminar,Workshop,Management,4,Highly engaging and interactive session
Cultural Night,Technical,Civil,1,Too long and boring
Data Science Bootcamp,Workshop,CSE,1,Too long and boring
Data Science Bootcamp,Seminar,Arts,3,Decent event
AI Workshop,Technical,Mechanical,5,Very informative and well organized
Cyber Security Talk,Seminar,IT,2,Sound system was bad
Hackathon,Technical,CSE,3,"Average experience, could be better"
Leadership Workshop,Seminar,IT,2,Not well organized
Leadership Workshop,Technical,EEE,1,Not well organized
Robotics Expo,Technical,Civil,2,Too long and boring
Robotics Expo,Workshop,IT,2,Expected more from this event
AI Workshop,Technical,Management,5,Learned a lot from this event
Robotics Expo,Cultural,Mechanical,4,Very informative and well organized
AI Workshop,Cultural,EEE,1,Too long and boring
Career Seminar,Workshop,CSE,1,Expected more from this event
Career Seminar,Workshop,Arts,3,Neither good nor bad
Data Science Bootcamp,Technical,Arts,4,Amazing experience and great speakers
Cultural Night,Technical,EEE,1,Too long and boring
Hackathon,Seminar,Arts,1,Too long and boring
Cultural Night,Cultural,Civil,3,It was okay overall
Hackathon,Technical,Civil,1,Too long and boring
Startup Meetup,Seminar,Civil,4,Excellent arrangements and content
Startup Meetup,Cultural,Mechanical,2,Not well organized
AI Workshop,Seminar,ECE,1,Not well organized
Career Seminar,Technical,IT,5,Learned a lot from this event
Hackathon,Seminar,Management,3,Content was fine but nothing special
Career Seminar,Seminar,CSE,2,Not well organized
Robotics Expo,Cultural,CSE,3,Neither good nor bad
Career Seminar,Workshop,CSE,1,Not well organized
Startup Meetup,Technical,ECE,2,Expected more from this event
Career Seminar,Cultural,Management,1,Sound system was bad
Leadership Workshop,Workshop,Arts,5,Very informative and well organized
Startup Meetup,Technical,ECE,3,Content was fine but nothing special
Robotics Expo,Cultural,Mechanical,5,Learned a lot from this event
Tech Fest,Workshop,Arts,2,Poor time management
Cyber Security Talk,Technical,Mechanical,5,Excellent arrangements and content
Cultural Night,Cultural,Arts,3,Decent event
Data Science Bootcamp,Technical,Arts,2,Poor time management
AI Workshop,Cultural,Civil,2,Not well organized
Cyber Security Talk,Cultural,Mechanical,1,Expected more from this event
Career Seminar,Workshop,IT,2,Sound system was bad
Cultural Night,Seminar,CSE,2,Sound system was bad
Leadership Workshop,Cultural,Arts,3,Neither good nor bad
Leadership Workshop,Technical,IT,5,Amazing experience and great speakers
Startup Meetup,Seminar,Management,3,Decent event
Data Science Bootcamp,Cultural,IT,5,Very informative and well organized
Cyber Security Talk,Cultural,ECE,4,Excellent arrangements and content
Data Science Bootcamp,Workshop,Management,5,Highly engaging and interactive session
AI Workshop,Workshop,Mechanical,5,Very informative and well organized
Career Seminar,Workshop,Civil,2,Sound system was bad
AI Workshop,Cultural,EEE,5,Learned a lot from this event
Data Science Bootcamp,Cultural,IT,5,Learned a lot from this event
Leadership Workshop,Workshop,ECE,5,Amazing experience and great speakers
Career Seminar,Technical,CSE,5,Highly engaging and interactive session
Leadership Workshop,Cultural,EEE,1,Poor time management
Leadership Workshop,Technical,Arts,5,Excellent arrangements and content
Hackathon,Seminar,EEE,5,Learned a lot from this event
Startup Meetup,Technical,CSE,4,Learned a lot from this event
Robotics Expo,Seminar,Arts,2,Not well organized
Leadership Workshop,Workshop,Civil,2,Too long and boring
Robotics Expo,Workshop,Civil,3,Content was fine but nothing special
AI Workshop,Cultural,EEE,5,Highly engaging and interactive session
Hackathon,Seminar,EEE,4,Very informative and well organized
Tech Fest,Cultural,Management,2,Poor time management
Cultural Night,Workshop,Civil,5,Excellent arrangements and content
Cultural Night,Workshop,Arts,5,Learned a lot from this event
Startup Meetup,Cultural,Arts,5,Excellent arrangements and content
Robotics Expo,Seminar,EEE,1,Poor time management
Career Seminar,Technical,CSE,2,Expected more from this event
Leadership Workshop,Seminar,Mechanical,3,Decent event
AI Workshop,Seminar,ECE,5,Very informative and well organized
Robotics Expo,Cultural,CSE,3,Content was fine but nothing special
Leadership Workshop,Workshop,Civil,4,Very informative and well organized
AI Workshop,Seminar,Arts,5,Learned a lot from this event
Leadership Workshop,Technical,ECE,5,Learned a lot from this event
Career Seminar,Cultural,Civil,1,Not well organized
Leadership Workshop,Seminar,CSE,2,Sound system was bad
Data Science Bootcamp,Cultural,Arts,1,Poor time management
Data Science Bootcamp,Workshop,Civil,5,Excellent arrangements and content
Data Science Bootcamp,Seminar,Mechanical,5,Learned a lot from this event
Cyber Security Talk,Seminar,Mechanical,5,Learned a lot from this event
Career Seminar,Cultural,IT,4,Very informative and well organized
Hackathon,Technical,Arts,4,Highly engaging and interactive session
Leadership Workshop,Workshop,CSE,3,Neither good nor bad
Data Science Bootcamp,Seminar,ECE,5,Excellent arrangements and content
Leadership Workshop,Technical,EEE,2,Poor time management
Career Seminar,Seminar,ECE,1,Not well organized
Robotics Expo,Seminar,CSE,4,Amazing experience and great speakers
Cultural Night,Cultural,Arts,2,Expected more from this event
Career Seminar,Workshop,Arts,5,Excellent arrangements and content
Cyber Security Talk,Cultural,Mechanical,5,Learned a lot from this event
Cultural Night,Workshop,Mechanical,5,Excellent arrangements and content
Cultural Night,Cultural,Mechanical,5,Learned a lot from this event
Career Seminar,Seminar,Civil,2,Not well organized
Hackathon,Technical,Management,5,Learned a lot from this event
Data Science Bootcamp,Cultural,CSE,4,Learned a lot from this event
Career Seminar,Seminar,Mechanical,3,It was okay overall
Cultural Night,Cultural,Mechanical,4,Amazing experience and great speakers
Leadership Workshop,Workshop,EEE,2,Poor time management
Cultural Night,Workshop,CSE,1,Expected more from this event
Career Seminar,Seminar,IT,1,Not well organized
Cyber Security Talk,Workshop,Management,2,Poor time management
Cultural Night,Cultural,Civil,4,Excellent arrangements and content
AI Workshop,Workshop,CSE,3,It was okay overall
Data Science Bootcamp,Technical,Management,2,Not well organized
Hackathon,Technical,CSE,4,Amazing experience and great speakers
Leadership Workshop,Technical,Civil,3,Neither good nor bad
Cyber Security Talk,Seminar,ECE,3,Decent event
Hackathon,Workshop,IT,5,Excellent arrangements and content
Startup Meetup,Cultural,ECE,3,"Average experience, could be better"
Hackathon,Workshop,ECE,1,Too long and boring
Robotics Expo,Cultural,IT,5,Excellent arrangements and content
Data Science Bootcamp,Workshop,Arts,4,Very informative and well organized
Tech Fest,Cultural,Management,3,"Average experience, could be better"
Hackathon,Cultural,Mechanical,2,Not well organized
Tech Fest,Cultural,Civil,5,Highly engaging and interactive session
AI Workshop,Seminar,Mechanical,2,Poor time management
Cyber Security Talk,Cultural,IT,2,Not well organized
Leadership Workshop,Workshop,EEE,3,Content was fine but nothing special
Data Science Bootcamp,Seminar,Civil,2,Not well organized
Startup Meetup,Workshop,EEE,4,Highly engaging and interactive session
Cyber Security Talk,Seminar,Civil,5,Very informative and well organized
AI Workshop,Technical,EEE,1,Expected more from this event
Data Science Bootcamp,Workshop,Civil,5,Highly engaging and interactive session
AI Workshop,Workshop,Arts,5,Excellent arrangements and content
Startup Meetup,Technical,Arts,1,Expected more from this event
Robotics Expo,Seminar,CSE,2,Expected more from this event
Hackathon,Technical,Management,5,Excellent arrangements and content
Cultural Night,Technical,CSE,3,It was okay overall
AI Workshop,Technical,IT,4,Learned a lot from this event
Hackathon,Seminar,ECE,4,Very informative and well organized
Career Seminar,Seminar,Arts,2,Not well organized
AI Workshop,Workshop,Civil,4,Excellent arrangements and content
Cyber Security Talk,Seminar,ECE,1,Sound system was bad
Tech Fest,Cultural,Arts,2,Poor time management
Cyber Security Talk,Seminar,EEE,5,Excellent arrangements and content
Career Seminar,Workshop,Mechanical,2,Not well organized
Tech Fest,Seminar,CSE,2,Poor time management
AI Workshop,Technical,CSE,2,Sound system was bad
Tech Fest,Workshop,CSE,4,Highly engaging and interactive session
Cultural Night,Workshop,CSE,4,Excellent arrangements and content
Hackathon,Workshop,Civil,2,Expected more from this event
Career Seminar,Workshop,Mechanical,5,Highly engaging and interactive session
Cultural Night,Seminar,Mechanical,2,Expected more from this event
Cyber Security Talk,Workshop,Management,3,It was okay overall
Tech Fest,Cultural,Management,5,Excellent arrangements and content
Robotics Expo,Seminar,ECE,5,Learned a lot from this event
Data Science Bootcamp,Seminar,EEE,3,Decent event
Data Science Bootcamp,Seminar,CSE,2,Too long and boring
Robotics Expo,Workshop,Management,5,Excellent arrangements and content
Cultural Night,Cultural,IT,2,Too long and boring
AI Workshop,Workshop,CSE,4,Learned a lot from this event
Leadership Workshop,Technical,IT,3,Decent event
Cyber Security Talk,Workshop,Arts,2,Expected more from this event
Hackathon,Technical,EEE,2,Too long and boring
Startup Meetup,Workshop,EEE,2,Poor time management
Cyber Security Talk,Cultural,Mechanical,4,Amazing experience and great speakers
Cyber Security Talk,Cultural,Mechanical,4,Excellent arrangements and content
Cyber Security Talk,Seminar,Arts,3,Content was fine but nothing special
Career Seminar,Workshop,Civil,1,Not well organized
Tech Fest,Workshop,ECE,3,Decent event
Cyber Security Talk,Seminar,Mechanical,1,Too long and boring
Career Seminar,Workshop,Management,2,Sound system was bad
Startup Meetup,Cultural,Mechanical,5,Amazing experience and great speakers
Startup Meetup,Workshop,Civil,4,Excellent arrangements and content
Cyber Security Talk,Seminar,ECE,2,Sound system was bad
Cyber Security Talk,Technical,IT,5,Very informative and well organized
Robotics Expo,Workshop,EEE,1,Poor time management
Tech Fest,Workshop,Arts,1,Sound system was bad
Leadership Workshop,Seminar,Arts,3,It was okay overall
Cyber Security Talk,Seminar,CSE,1,Poor time management
Hackathon,Cultural,CSE,1,Expected more from this event
Data Science Bootcamp,Technical,IT,5,Excellent arrangements and content
Cultural Night,Workshop,Mechanical,5,Amazing experience and great speakers
Robotics Expo,Technical,Civil,3,Content was fine but nothing special
Leadership Workshop,Workshop,EEE,4,Excellent arrangements and content
Tech Fest,Technical,Management,3,It was okay overall
Cyber Security Talk,Seminar,CSE,4,Excellent arrangements and content
AI Workshop,Seminar,Management,1,Sound system was bad
AI Workshop,Technical,EEE,3,Neither good nor bad
Startup Meetup,Cultural,CSE,2,Expected more from this event
Cyber Security Talk,Technical,ECE,1,Too long and boring
Cultural Night,Workshop,Management,3,It was okay overall
Data Science Bootcamp,Workshop,Management,1,Too long and boring
Robotics Expo,Workshop,IT,5,Learned a lot from this event
Tech Fest,Technical,Management,5,Learned a lot from this event
Career Seminar,Seminar,Civil,2,Poor time management
Startup Meetup,Seminar,EEE,1,Too long and boring
Robotics Expo,Seminar,ECE,3,Neither good nor bad
AI Workshop,Cultural,EEE,5,Excellent arrangements and content
Hackathon,Workshop,Management,1,Poor time management
Career Seminar,Cultural,IT,2,Not well organized
Hackathon,Seminar,Civil,1,Poor time management
Data Science Bootcamp,Technical,ECE,3,It was okay overall
Cyber Security Talk,Seminar,IT,4,Excellent arrangements and content
Career Seminar,Technical,Civil,1,Poor time management
Hackathon,Seminar,Management,4,Very informative and well organized
